,作品名,Item.reviewCount,アフィリエイトURL,商品説明,価格,レビュー平均,ジャンル
0,体脂肪計タニタの社員食堂,5519,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6333205%2F,カロリーダウンの調理のコツ。オーブントースターで油分カット。かみ応えでまんぷく感。薬味で味わいアップ。しっかりだしで塩分ダウン。肉も魚も野菜もたっぷりおいしさ・ボリュームそのまま。人気社員食堂の定食レシピ３１日分。,1257,4.19,単行本
1,永遠の0,5478,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6120974%2F,「娘に会うまでは死ねない、妻との約束を守るために」。そう言い続けた男は、なぜ自ら零戦に乗り命を落としたのか。終戦から６０年目の夏、健太郎は死んだ祖父の生涯を調べていた。天才だが臆病者。想像と違う人物像に戸惑いつつも、一つの謎が浮かんでくるー。記憶の断片が揃う時、明らかになる真実とは。涙を流さずにはいられない、男の絆、家族の絆。,963,4.49,文庫
2,もし高校野球の女子マネージャーがドラッカーの『マネジメント』を読んだら,5300,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6251307%2F,公立高校野球部のマネージャーみなみは、ふとしたことでドラッカーの経営書『マネジメント』に出会います。はじめは難しさにとまどうのですが、野球部を強くするのにドラッカーが役立つことに気付きます。みなみと親友の夕紀、そして野球部の仲間たちが、ドラッカーの教えをもとに力を合わせて甲子園を目指す青春物語。家庭、学校、会社、ＮＰＯ…ひとがあつまっているすべての組織で役立つ本。,1760,4.01,単行本
3,阪急電車,3264,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6617799%2F,隣に座った女性は、よく行く図書館で見かけるあの人だった…。片道わずか１５分のローカル線で起きる小さな奇跡の数々。乗り合わせただけの乗客の人生が少しずつ交差し、やがて希望の物語が紡がれる。恋の始まり、別れの兆し、途中下車ー人数分のドラマを乗せた電車はどこまでもは続かない線路を走っていく。ほっこり胸キュンの傑作長篇小説。,649,4.31,文庫
4,舟を編む,2952,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11334831%2F,玄武書房に勤める馬締光也。営業部では変人として持て余されていたが、人とは違う視点で言葉を捉える馬締は、辞書編集部に迎えられる。新しい辞書『大渡海』を編む仲間として。定年間近のベテラン編集者、日本語研究に人生を捧げる老学者、徐々に辞書に愛情を持ち始めるチャラ男、そして出会った運命の女性。個性的な面々の中で、馬締は辞書の世界に没頭する。言葉という絆を得て、彼らの人生が優しく編み上げられていくー。しかし、問題が山積みの辞書編集部。果たして『大渡海』は完成するのかー。,1650,4.21,単行本
5,世界で一番おもしろい地図帳,2869,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F3589546%2F,謎の宝庫「地図」の読み方、教えます！なぜ、日付変更線は太平洋の真ん中にあるのか？緯度も経度も０度の場所っていったいどこ？ヨーロッパの国旗に三色旗が多いのはどうして？「中東」ってどこからどこまでのこと？「ワシントンＤ．Ｃ．」の「Ｄ．Ｃ．」ってなんのこと？本物の地理通になるための最強レッスン！学校では教えてくれない気になる「なぜ？」に迫る。,523,4.24,単行本
6,告白,2831,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6414927%2F,「愛美は死にました。しかし事故ではありません。このクラスの生徒に殺されたのです」我が子を校内で亡くした中学校の女性教師によるホームルームでの告白から、この物語は始まる。語り手が「級友」「犯人」「犯人の家族」と次々と変わり、次第に事件の全体像が浮き彫りにされていく。衝撃的なラストを巡り物議を醸した、デビュー作にして、第６回本屋大賞受賞のベストセラーが遂に文庫化！“特別収録”中島哲也監督インタビュー『「告白」映画化によせて』。,680,3.99,文庫
7,西の魔女が死んだ,2830,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1361931%2F,中学に進んでまもなく、どうしても学校へ足が向かなくなった少女まいは、季節が初夏へと移り変るひと月あまりを、西の魔女のもとで過した。西の魔女ことママのママ、つまり大好きなおばあちゃんから、まいは魔女の手ほどきを受けるのだが、魔女修行の肝心かなめは、何でも自分で決める、ということだった。喜びも希望も、もちろん幸せも…。その後のまいの物語「渡りの一日」併録。,572,4.11,文庫
8,イニシエーション・ラブ,2774,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4358601%2F,僕がマユに出会ったのは、代打で呼ばれた合コンの席。やがて僕らは恋に落ちて…。甘美で、ときにほろ苦い青春のひとときを瑞々しい筆致で描いた青春小説ーと思いきや、最後から二行目（絶対に先に読まないで！）で、本書は全く違った物語に変貌する。「必ず二回読みたくなる」と絶賛された傑作ミステリー。,693,3.52,文庫
9,モムチャンダイエットプレミアム,2746,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6491208%2F,７０ｋｇ超のオバサン体型から２０ｋｇ以上の脂肪を脱ぎ捨て“モムチャン”へ。韓国の美魔女、の若返りダイエット。,1540,4.25,単行本
